"gauge_code","estado","n_duracoes","n_duracoes_8anos","min_anos","med_anos","max_anos","passa"
"A303","AL",24,24,14,14,14,TRUE
"270430213A","AL",24,24,9,9,9,TRUE
"270210801A","AL",24,24,8,8,8,TRUE
"270430210A","AL",24,24,8,8,8,TRUE
"270510101A","AL",24,24,8,8,8,TRUE
"270890701A","AL",24,24,8,8,8,TRUE
"A134","AM",24,24,8,8,8,TRUE
"A431","BA",24,24,8,8,8,TRUE
"A001","DF",24,24,10,10,10,TRUE
"A612","ES",24,24,12,12,12,TRUE
"A613","ES",24,24,9,9,9,TRUE
"A616","ES",24,24,8,8,8,TRUE
"521460602A","GO",24,24,10,10,10,TRUE
"A036","GO",24,24,9,9,9,TRUE
"A521","MG",24,24,14,14,14,TRUE
"A537","MG",24,24,13,13,13,TRUE
"A502","MG",24,24,12,12,12,TRUE
"A536","MG",24,24,11,11,11,TRUE
"A538","MG",24,24,11,11,11,TRUE
"A551","MG",24,24,11,11,11,TRUE
"A510","MG",24,24,10,10,10,TRUE
"A552","MG",24,24,10,10,10,TRUE
"311330502A","MG",24,24,9,9,9,TRUE
"315680901A","MG",24,24,9,9,9,TRUE
"A507","MG",24,24,9,9,9,TRUE
"A517","MG",24,24,9,9,9,TRUE
"A518","MG",24,24,9,9,9,TRUE
"A531","MG",24,24,9,9,9,TRUE
"A555","MG",24,24,9,9,9,TRUE
"F501","MG",24,24,9,9,9,TRUE
"313620704A","MG",24,24,8,8,8,TRUE
"315250105A","MG",24,24,8,8,8,TRUE
"A509","MG",24,24,8,8,8,TRUE
"A541","MG",24,24,8,8,8,TRUE
"A554","MG",24,24,8,8,8,TRUE
"A702","MS",24,24,10,10,10,TRUE
"A928","MT",24,24,8,8,8,TRUE
"250180703A","PB",24,24,10,10,10,TRUE
"250750705A","PB",24,24,10,10,10,TRUE
"251530201A","PB",24,24,10,10,10,TRUE
"A310","PB",24,24,10,10,10,TRUE
"250180701A","PB",24,24,9,9,9,TRUE
"250400901A","PB",24,24,9,9,9,TRUE
"250400904A","PB",24,24,9,9,9,TRUE
"250400906A","PB",24,24,9,9,9,TRUE
"250750701A","PB",24,24,9,9,9,TRUE
"250750702A","PB",24,24,9,9,9,TRUE
"250400902A","PB",24,24,8,8,8,TRUE
"250750707A","PB",24,24,8,8,8,TRUE
"261290101A","PE",24,24,11,11,11,TRUE
"260345404A","PE",24,24,10,10,10,TRUE
"260940202A","PE",24,24,10,10,10,TRUE
"261160621A","PE",24,24,10,10,10,TRUE
"260130001A","PE",24,24,8,8,8,TRUE
"260790108A","PE",24,24,8,8,8,TRUE
"260960005A","PE",24,24,8,8,8,TRUE
"261160614A","PE",24,24,8,8,8,TRUE
"261370103A","PE",24,24,8,8,8,TRUE
"A301","PE",24,24,8,8,8,TRUE
"A307","PE",24,24,8,8,8,TRUE
"410330501A","PR",24,24,10,10,10,TRUE
"410400602A","PR",24,24,10,10,10,TRUE
"410580501A","PR",24,24,9,9,9,TRUE
"412060601A","PR",24,24,9,9,9,TRUE
"412570402A","PR",24,24,9,9,9,TRUE
"A823","PR",24,24,9,9,9,TRUE
"410930201A","PR",24,24,8,8,8,TRUE
"412550602A","PR",24,24,8,8,8,TRUE
"A607","RJ",24,24,10,10,10,TRUE
"330455728A","RJ",24,24,9,9,9,TRUE
"330455729A","RJ",24,24,8,8,8,TRUE
"240810206A","RN",24,24,8,8,8,TRUE
"14680001","RR",24,24,8,8,8,TRUE
"A801","RS",24,24,17,17,17,TRUE
"A803","RS",24,24,14,14,14,TRUE
"A813","RS",24,24,12,12,12,TRUE
"431690707A","RS",24,24,11,11,11,TRUE
"A812","RS",24,24,11,11,11,TRUE
"A844","RS",24,24,11,11,11,TRUE
"430920901A","RS",24,24,10,10,10,TRUE
"431020703A","RS",24,24,10,10,10,TRUE
"431410001A","RS",24,24,10,10,10,TRUE
"A802","RS",24,24,10,10,10,TRUE
"A836","RS",24,24,10,10,10,TRUE
"A853","RS",24,24,10,10,10,TRUE
"430510802A","RS",24,24,9,9,9,TRUE
"430700502A","RS",24,24,9,9,9,TRUE
"432300204A","RS",24,24,9,9,9,TRUE
"430120601A","RS",24,24,8,8,8,TRUE
"430350901A","RS",24,24,8,8,8,TRUE
"431410002A","RS",24,24,8,8,8,TRUE
"431440703A","RS",24,24,8,8,8,TRUE
"432250904A","RS",24,24,8,8,8,TRUE
"432260802A","RS",24,24,8,8,8,TRUE
"A805","RS",24,24,8,8,8,TRUE
"A809","RS",24,24,8,8,8,TRUE
"A827","RS",24,24,8,8,8,TRUE
"A828","RS",24,24,8,8,8,TRUE
"A854","RS",24,24,8,8,8,TRUE
"A806","SC",24,24,13,13,13,TRUE
"420180202A","SC",24,24,9,9,9,TRUE
"420800501A","SC",24,24,9,9,9,TRUE
"420650401A","SC",24,24,8,8,8,TRUE
"421340101A","SC",24,24,8,8,8,TRUE
"A841","SC",24,24,8,8,8,TRUE
"A867","SC",24,24,8,8,8,TRUE
"280400301A","SE",24,24,10,10,10,TRUE
"A409","SE",24,24,9,9,9,TRUE
"A701","SP",24,24,14,14,14,TRUE
"351060901A","SP",24,24,9,9,9,TRUE
"352660501A","SP",24,24,9,9,9,TRUE
"352690204A","SP",24,24,9,9,9,TRUE
"353060704A","SP",24,24,9,9,9,TRUE
"350315801A","SP",24,24,8,8,8,TRUE
"350350501A","SP",24,24,8,8,8,TRUE
"350380201A","SP",24,24,8,8,8,TRUE
"350600301A","SP",24,24,8,8,8,TRUE
"353180302A","SP",24,24,8,8,8,TRUE
"353440103A","SP",24,24,8,8,8,TRUE
"353710704A","SP",24,24,8,8,8,TRUE
"354050701A","SP",24,24,8,8,8,TRUE
"355220509A","SP",24,24,8,8,8,TRUE
"270660401A","AL",24,0,6,6,6,FALSE
"A101","AM",24,0,7,7,7,FALSE
"A125","AM",24,0,6,6,6,FALSE
"A119","AM",24,0,5,5,5,FALSE
"A126","AM",24,0,4,4,4,FALSE
"A111","AM",24,0,3,3,3,FALSE
"291180801A","BA",24,0,7,7,7,FALSE
"291345701A","BA",24,0,7,7,7,FALSE
"291360602A","BA",24,0,7,7,7,FALSE
"A401","BA",24,0,7,7,7,FALSE
"A408","BA",24,0,7,7,7,FALSE
"290560202A","BA",24,0,6,6,6,FALSE
"291480202A","BA",24,0,6,6,6,FALSE
"292770501A","BA",24,0,6,6,6,FALSE
"A407","BA",24,0,5,5,5,FALSE
"A425","BA",24,0,5,5,5,FALSE
"A427","BA",24,0,5,5,5,FALSE
"A429","BA",24,0,5,5,5,FALSE
"A433","BA",24,0,5,5,5,FALSE
"A402","BA",24,0,3,3,3,FALSE
"A406","BA",24,0,3,3,3,FALSE
"A414","BA",24,0,3,3,3,FALSE
"A434","BA",24,0,3,3,3,FALSE
"A430","BA",24,0,2,2,2,FALSE
"A342","CE",24,0,7,7,7,FALSE
"230390701A","CE",24,0,6,6,6,FALSE
"230540702A","CE",24,0,6,6,6,FALSE
"230980501A","CE",24,0,6,6,6,FALSE
"231180101A","CE",24,0,6,6,6,FALSE
"A314","CE",24,0,6,6,6,FALSE
"230765004A","CE",24,0,4,4,4,FALSE
"A332","CE",24,0,2,2,2,FALSE
"A045","DF",24,0,7,7,7,FALSE
"320530905A","ES",24,0,7,7,7,FALSE
"320220702A","ES",24,0,6,6,6,FALSE
"320500213A","ES",24,0,6,6,6,FALSE
